1,2,3,4,5,6,7,8,9,10,11,12
8,21,13,0,-14,17,91,174,217,173,142,121
26,43,17,6,-35,30,62,167,256,226,198,173
51,69,19,17,-58,44,17,147,293,281,260,230
103,110,9,48,-106,59,-53,106,327,346,331,305
176,166,-10,94,-170,79,-143,50,356,419,411,391
268,246,-22,147,-256,113,-241,-3,390,498,498,486
374,343,-30,204,-357,157,-344,-60,426,582,587,586
472,433,-39,257,-452,197,-444,-123,454,667,674,676
567,519,-47,309,-541,235,-541,-189,477,751,748,759
621,556,-63,344,-588,247,-623,-260,460,783,825,795
649,565,-83,368,-607,242,-696,-330,418,785,838,800
658,549,-108,385,-603,220,-744,-408,335,731,792,759
651,513,-138,397,-582,187,-774,-487,223,638,703,686
596,468,-129,365,-532,170,-781,-562,84,503,579,576
506,412,-94,301,-459,160,-770,-635,-77,330,422,435
401,351,-50,227,-375,150,-728,-663,-199,171,281,311
283,283,0,144,-282,141,-660,-661,-302,13,143,193
191,222,32,82,-206,127,-586,-632,-362,-97,38,101
116,175,57,31,-145,116,-502,-583,-386,-172,-39,30
52,133,81,-12,-92,107,-422,-518,-382,-216,-87,-17
3,102,101,-49,-53,103,-343,-437,-345,-224,-104,-37
-26,91,117,-70,-32,104,-271,-355,-292,-204,-97,-37
-34,88,122,-77,-26,105,-205,-268,-219,-154,-66,-17
-32,86,118,-73,-27,101,-151,-187,-143,-99,-26,10
-19,77,98,-57,-28,88,-111,-114,-70,-44,15,38
-2,65,68,-33,-30,67,-79,-63,-17,3,41,54
13,47,35,-10,-29,40,-54,-35,12,32,51,54
9,25,16,-2,-17,20,-32,-18,20,38,44,45
-7,4,10,-7,3,7,-11,-13,14,27,25,30
-25,-11,15,-19,18,2,1,-14,-1,7,4,9
-44,-17,27,-34,30,6,6,-18,-15,-12,-9,-10
-42,-9,34,-37,26,13,14,-9,-16,-21,-17,-18
-28,7,36,-31,11,21,22,12,-6,-20,-16,-17
-28,5,33,-29,11,19,20,21,15,8,8,1
-25,4,28,-25,10,16,21,29,24,18,15,6
-21,0,20,-19,10,10,21,35,30,26,19,10
-18,-6,11,-14,11,3,20,36,32,30,20,11
-15,-9,5,-9,11,-2,20,35,29,29,17,10
-13,-11,2,-7,11,-5,21,32,24,25,12,7
-14,-11,2,-7,12,-5,23,30,20,19,7,5
-16,-10,5,-9,12,-3,26,28,17,16,4,5
-17,-8,9,-12,12,0,28,28,18,15,3,6
-17,-7,10,-12,11,1,30,30,21,16,4,8
-14,-7,7,-10,9,0,30,32,25,20,6,9
-11,-9,2,-6,8,-3,29,34,28,23,7,9
-10,-12,-3,-3,9,-7,30,35,30,25,8,7
-9,-14,-6,-1,10,-10,31,35,29,25,7,5
-9,-14,-7,0,10,-11,32,34,28,24,6,3
-7,-13,-6,0,9,-10,33,32,26,23,4,1
-4,-9,-6,2,5,-7,34,31,23,21,3,1
-1,-3,-3,2,0,-3,36,31,22,21,3,2
0,2,1,0,-3,2,38,33,23,22,4,4
0,7,7,-3,-5,7,41,36,27,26,8,8
-1,12,12,-6,-7,12,43,40,32,31,14,13
-2,15,16,-9,-8,15,45,45,38,37,21,17
-3,16,18,-10,-8,17,46,47,41,41,27,21
-2,16,17,-9,-8,17,45,48,43,44,32,22
-2,15,16,-8,-8,15,44,47,43,44,34,23
-1,13,13,-6,-7,13,42,46,42,43,35,22
0,11,10,-4,-6,10,41,45,41,43,35,22
1,9,7,-2,-6,8,40,44,41,43,34,21
2,8,5,-1,-6,7,40,44,42,44,34,22
2,7,4,-1,-5,6,41,45,44,45,34,23
-1,5,6,-3,-3,6,41,46,48,48,35,24
-5,5,9,-7,-1,8,41,48,51,50,37,26
-7,7,13,-10,-1,10,41,49,55,53,39,27
-7,10,17,-12,-2,14,41,50,59,56,42,29
-3,16,18,-10,-7,17,41,50,62,57,44,30
3,22,19,-8,-13,20,40,51,65,59,45,31
6,27,20,-6,-17,23,39,52,67,60,46,32
9,30,21,-6,-20,25,38,54,69,62,47,34
10,33,23,-6,-22,27,36,56,71,65,49,36
11,36,25,-6,-25,30,36,58,73,69,52,38
14,40,26,-5,-28,32,37,60,75,73,54,41
17,43,26,-3,-31,34,38,61,77,77,56,44
20,43,24,-1,-32,33,38,61,77,79,55,45
22,41,20,2,-32,30,38,60,77,81,54,47
23,38,15,5,-32,26,37,59,76,81,53,47
25,35,10,9,-31,21,36,58,75,80,52,47
29,33,4,14,-33,18,36,57,74,78,51,47
35,33,-2,20,-36,15,36,57,73,75,50,46
42,33,-9,26,-39,12,36,57,72,72,48,45
49,35,-14,32,-43,10,35,58,72,71,47,45
54,36,-17,36,-47,10,35,61,74,70,47,45
56,39,-17,38,-49,11,34,65,77,72,50,47
56,42,-14,37,-50,13,33,70,82,75,56,50
55,44,-11,34,-50,16,32,76,88,79,63,55
53,45,-7,31,-50,18,31,82,95,85,71,60
51,46,-5,29,-49,20,30,87,102,90,78,65
49,46,-3,27,-48,21,30,92,108,97,84,71
47,46,-2,26,-47,21,30,96,113,104,90,76
46,45,-1,25,-47,22,29,100,119,111,95,80
46,45,-1,25,-47,22,28,103,124,119,99,83
47,44,-3,26,-47,21,27,106,129,125,103,86
50,44,-6,28,-48,20,25,110,133,130,106,89
54,46,-9,32,-51,19,25,114,138,136,109,93
62,48,-14,38,-56,18,24,119,142,141,111,97
72,52,-20,47,-63,16,23,124,146,145,112,99
83,57,-26,55,-71,16,22,128,150,149,114,101
94,63,-31,63,-80,16,23,133,154,153,116,103
103,71,-32,68,-88,19,25,138,160,157,119,107
109,80,-29,70,-96,26,30,146,168,163,126,113
113,90,-23,69,-102,33,35,155,177,169,134,120
113,97,-15,65,-106,41,40,163,186,177,143,127
110,104,-6,59,-108,49,45,171,195,184,152,135
105,109,4,51,-108,56,49,178,203,191,161,142
100,113,13,45,-108,63,53,185,213,200,170,151
99,119,20,40,-110,69,56,192,223,210,180,160
99,124,25,38,-113,74,57,200,233,220,190,169
102,129,27,39,-116,77,56,207,243,231,199,178
104,132,28,39,-119,79,54,213,252,241,208,185
105,134,29,39,-120,81,53,218,260,248,217,192
108,137,28,41,-123,82,51,222,265,254,224,198
116,141,25,46,-129,83,50,223,268,259,228,202
128,147,19,56,-139,83,48,222,270,263,230,206
144,155,10,68,-151,82,44,219,269,265,229,207
160,163,3,80,-163,83,41,217,268,267,226,208
172,172,-1,87,-173,85,39,217,268,269,225,209
178,179,0,90,-180,89,39,216,268,271,225,211
179,184,5,87,-183,95,40,215,269,273,226,213
175,187,11,82,-182,99,41,214,269,275,227,215
171,187,16,77,-180,102,41,211,267,275,226,215
167,187,20,74,-178,104,41,207,264,273,224,214
165,187,21,72,-178,105,42,204,260,271,222,212
164,187,22,71,-177,105,43,201,257,267,220,210
163,186,23,70,-176,106,43,197,252,264,217,208
159,184,24,68,-173,105,43,192,247,259,214,203
153,179,25,65,-167,102,42,186,239,253,208,197
146,171,26,61,-159,99,40,177,230,245,201,189
138,164,26,57,-152,95,40,168,220,235,192,180
131,157,25,54,-145,91,39,158,208,224,182,170
127,150,23,53,-139,87,39,147,195,212,170,159
125,146,20,53,-136,83,39,137,182,198,158,149
125,143,17,55,-135,80,40,128,168,184,146,138
124,141,16,55,-134,79,41,120,156,170,135,128
121,140,19,52,-132,80,43,114,145,158,125,119
115,139,24,46,-128,81,46,108,136,148,118,112
103,134,31,37,-120,83,49,104,128,138,112,105
89,128,39,25,-110,84,51,100,121,130,106,99
74,122,48,13,-99,85,52,98,115,122,101,93
59,115,56,3,-88,86,53,96,110,114,95,87
49,111,61,-5,-81,86,53,94,105,107,90,82
41,106,65,-11,-74,85,51,91,100,101,85,77
33,98,65,-16,-66,82,47,87,94,95,80,72
